chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM,abundance,
XV,554823,558642,YOR124C,0,-,482,3819,3819,16.87418177,not_preferential,
XVI,786207,787428,YPR124W,0,+,154,1221,1221,16.8628276,not_preferential,
XIV,289497,291876,YNL186W,0,+,300,2379,2379,16.8597898,not_preferential,
XIV,357452,358952,YNL142W,0,+,189,1500,1500,16.84596478,not_preferential,
XIII,899378,901307,YMR313C,0,-,243,1929,1929,16.84222206,not_preferential,
XVI,818129,818693,YPR142C,0,-,71,564,564,16.83079336,not_preferential,
XVI,9556,10870,YPL281C,0,-,165,1314,1314,16.78857836,not_preferential,
XI,291452,292631,YKL077W,0,+,148,1179,1179,16.7831414,not_preferential,
IX,312904,313861,YIL021W,0,+,120,957,957,16.76465619,not_preferential,
XIV,542303,542822,YNL046W,0,+,65,519,519,16.74446754,not_preferential,
XI,349462,351013,YKL047W,0,+,194,1551,1551,16.7230418,not_preferential,
IV,1415209,1416874,YDR479C,0,-,208,1665,1665,16.70222925,not_preferential,
IV,1223473,1224394,YDR374C,0,-,115,921,921,16.69412086,not_preferential,
XI,286602,288573,YKL079W,0,+,246,1971,1971,16.6868294,not_preferential,
IX,63027,68067,YIL149C,0,-,629,5040,5040,16.68573924,not_preferential,
XVI,620424,621258,YPR027C,0,-,104,834,834,16.67218927,not_preferential,
IV,240258,241197,YDL124W,0,+,117,939,939,16.65887282,not_preferential,
II,808599,809097,YBR300C,0,-,62,498,498,16.64514911,not_preferential,
IV,618496,619645,YDR088C,0,-,143,1149,1149,16.63954138,not_preferential,
XI,548215,549091,YKR055W,0,+,109,876,876,16.63595492,not_preferential,
XIII,806864,807548,YMR271C,0,-,85,684,684,16.61453409,not_preferential,
XVI,927964,928294,YPR195C,0,-,41,330,330,16.61098018,not_preferential,
VI,182273,182861,YFR017C,0,-,73,588,588,16.59857775,not_preferential,
IV,438046,439360,YDL007W,0,+,163,1314,1314,16.58508044,not_preferential,
II,418906,419164,YBR085C-A,0,-,32,258,258,16.58271419,not_preferential,
XIV,547112,547370,YNL042W-B,0,+,32,258,258,16.58271419,not_preferential,
II,9267,9372,YBL107W-A,0,+,13,105,105,16.5531022,not_preferential,
V,449473,449578,YER138W-A,0,+,13,105,105,16.5531022,not_preferential,
XII,425185,426616,YLR142W,0,+,177,1431,1431,16.53708565,not_preferential,
XIII,225888,226697,YML024W,0,+,100,809,809,16.52634526,not_preferential,
II,172533,174588,YBL024W,0,+,254,2055,2055,16.52521938,not_preferential,
XVI,535819,538936,YPL009C,0,-,385,3117,3117,16.51388555,not_preferential,
XIV,319415,321359,YNL167C,0,-,240,1944,1944,16.50594236,not_preferential,
XI,549447,551367,YKR056W,0,+,237,1920,1920,16.50336331,not_preferential,
I,172210,175135,YAR019C,0,-,361,2700,2925,16.50086361,not_preferential,
IV,99560,100421,YDL201W,0,+,106,861,861,16.45993277,not_preferential,
VII,457162,457870,YGL020C,0,-,87,708,708,16.42900789,not_preferential,
VII,289808,291641,YGL116W,0,+,225,1833,1833,16.41139114,not_preferential,
XIV,680693,685433,YNR031C,0,-,581,4740,4740,16.38789354,not_preferential,
XIII,507501,509280,YMR120C,0,-,218,1779,1779,16.38346994,not_preferential,
VI,159298,160360,YFR007W,0,+,130,1062,1062,16.3660615,not_preferential,
XI,292837,293221,YKL076C,0,-,47,384,384,16.36409442,not_preferential,
XVI,348445,348952,YPL108W,0,+,62,507,507,16.34967309,not_preferential,
IV,1224756,1225026,YDR374W-A,0,+,33,270,270,16.34088294,not_preferential,
X,136173,136533,YJL152W,0,+,44,360,360,16.34088294,not_preferential,
IV,1108701,1109847,YDR321W,0,+,140,1146,1146,16.33310527,not_preferential,
VIII,132046,132922,YHR014W,0,+,107,876,876,16.33070804,not_preferential,
XVI,882982,883318,YPR170C,0,-,41,336,336,16.31435553,not_preferential,
XII,257991,259401,YLR058C,0,-,172,1408,1410,16.30927582,not_preferential,
XV,788741,789857,YOR242C,0,-,136,1116,1116,16.29296246,not_preferential,
XVI,627879,631245,YPR030W,0,+,410,3366,3366,16.28527469,not_preferential,
XII,423682,424774,YLR141W,0,+,133,1092,1092,16.28374699,not_preferential,
XIV,539910,541881,YNL047C,0,-,240,1971,1971,16.27983356,not_preferential,
IV,1120608,1124925,YDR326C,0,-,525,4132,4317,16.25932821,not_preferential,
XI,147629,148838,YKL162C,0,-,147,1188,1209,16.25610056,not_preferential,
II,445061,447323,YBR102C,0,-,275,2262,2262,16.25419391,not_preferential,
XIV,387226,389767,YNL126W,0,+,308,2541,2541,16.20583432,not_preferential,
XV,1059530,1059992,YOR382W,0,+,56,462,462,16.20583432,not_preferential,
VII,802439,805049,YGR157W,0,+,316,2259,2610,16.18720692,not_preferential,
VIII,198739,201310,YHR047C,0,-,311,2571,2571,16.17274189,not_preferential,
XV,114137,115808,YOL105C,0,-,202,1671,1671,16.16219204,not_preferential,
IX,363220,364519,YIR004W,0,+,157,1287,1299,16.15905073,not_preferential,
XIII,560365,560812,YMR148W,0,+,54,447,447,16.15145233,not_preferential,
VII,184152,185394,YGL170C,0,-,150,1242,1242,16.14711753,not_preferential,
XVI,475992,479001,YPL040C,0,-,363,3009,3009,16.12908685,not_preferential,
IX,87978,88716,YIL139C,0,-,89,738,738,16.1234876,not_preferential,
IV,174231,174588,YDL157C,0,-,43,357,357,16.10369671,not_preferential,
XV,515243,516173,YOR101W,0,+,112,930,930,16.10128055,not_preferential,
XV,852120,853077,YOR288C,0,-,115,957,957,16.06612885,not_preferential,
XVI,740060,741392,YPR106W,0,+,160,1332,1332,16.05983581,not_preferential,
II,113761,115168,YBL056W,0,+,169,1407,1407,16.05897975,not_preferential,
XIII,499455,500688,YMR116C,0,-,148,1233,1233,16.04811331,not_preferential,
XII,876921,877296,YLR379W,0,+,45,375,375,16.04377598,not_preferential,
VIII,84067,85060,YHL009C,0,-,119,993,993,16.02223348,not_preferential,
IV,850273,850999,YDR196C,0,-,87,726,726,16.02167711,not_preferential,
X,53340,54183,YJL203W,0,+,101,843,843,16.01840029,not_preferential,
VII,217523,220922,YGL151W,0,+,407,3335,3399,16.00916157,not_preferential,
XII,840320,840914,YLR356W,0,+,71,594,594,15.98075329,not_preferential,
IV,1342492,1344241,YDR440W,0,+,209,1749,1749,15.97650648,not_preferential,
XV,49554,52788,YOL145C,0,-,386,3234,3234,15.95778584,not_preferential,
X,106433,106718,YJL166W,0,+,34,285,285,15.94995273,not_preferential,
XV,511824,513006,YOR099W,0,+,141,1182,1182,15.94876208,not_preferential,
IV,636116,636527,YDR095C,0,-,49,411,411,15.93968011,not_preferential,
XIII,574475,574928,YMR159C,0,-,54,453,453,15.93752581,not_preferential,
V,523368,525759,YER169W,0,+,285,2391,2391,15.93641487,not_preferential,
II,572370,573612,YBR168W,0,+,148,1242,1242,15.93182263,not_preferential,
VIII,95117,97937,YHL007C,0,-,336,2820,2820,15.92999033,not_preferential,
VII,627082,627418,YGR069W,0,+,40,336,336,15.91644442,not_preferential,
VIII,284838,286770,YHR091C,0,-,230,1932,1932,15.91644442,not_preferential,
XIII,668491,669655,YMR203W,0,+,138,1164,1164,15.8508096,not_preferential,
V,70477,73348,YEL043W,0,+,340,2357,2871,15.83328641,not_preferential,
VII,435624,436401,YGL033W,0,+,92,777,777,15.83040959,not_preferential,
III,280116,286443,YCR093W,0,+,749,6327,6327,15.82739082,not_preferential,
XV,254296,254617,YOL039W,0,+,38,321,321,15.82719333,not_preferential,
IV,268920,269976,YDL107W,0,+,125,1056,1056,15.82601008,not_preferential,
II,726617,727074,YBR255C-A,0,-,54,457,457,15.79802886,not_preferential,
II,582407,583355,YBR175W,0,+,112,948,948,15.79556003,not_preferential,
XV,896697,897078,YOR309C,0,-,45,381,381,15.79111809,not_preferential,
VIII,450814,451153,YHR173C,0,-,40,339,339,15.77559093,not_preferential,
XII,617532,620160,YLR240W,0,+,310,2628,2628,15.77108877,not_preferential,
II,111436,112708,YBL058W,0,+,150,1272,1272,15.76628929,not_preferential,
II,505667,512774,YBR136W,0,+,838,7107,7107,15.76460329,not_preferential,
I,92899,94486,YAL028W,0,+,187,1587,1587,15.75397032,not_preferential,
XVI,814390,815536,YPR140W,0,+,135,1146,1146,15.74978008,not_preferential,
VI,162487,164746,YFR009W,0,+,266,2259,2259,15.74311794,not_preferential,
XI,586788,589305,YKR079C,0,-,296,2517,2517,15.72294295,not_preferential,
XV,493432,494470,YOR091W,0,+,122,1038,1038,15.71403877,not_preferential,
VIII,268458,271548,YHR082C,0,-,363,3090,3090,15.70628554,not_preferential,
XIII,133474,135229,YML070W,0,+,206,1755,1755,15.69334212,not_preferential,
I,7234,9016,YAL067C,0,-,209,1782,1782,15.68064525,not_preferential,
VII,703635,705051,YGR108W,0,+,166,1416,1416,15.6736512,not_preferential,
XIII,654033,654417,YMR195W,0,+,45,384,384,15.66774998,not_preferential,
XIV,616210,618241,YNL008C,0,-,238,1923,2031,15.66723569,not_preferential,
XVI,539384,541970,YPL008W,0,+,303,2586,2586,15.66532651,not_preferential,
VIII,115619,115901,YHR005C-A,0,-,33,282,282,15.64552622,not_preferential,
IV,172480,174028,YDL159W,0,+,181,1548,1548,15.63266285,not_preferential,
VII,193706,196403,YGL163C,0,-,315,1867,2697,15.61546605,not_preferential,
IV,397536,399129,YDL030W,0,+,186,1588,1593,15.61070481,not_preferential,
V,212586,213177,YER029C,0,-,69,591,591,15.60942671,not_preferential,
IV,1233277,1233517,YDR379C-A,0,-,28,240,240,15.59811553,not_preferential,
XVI,721036,724717,YPR095C,0,-,429,3681,3681,15.58177102,not_preferential,
IV,433496,433994,YDL008W,0,+,58,498,498,15.57126852,not_preferential,
IV,1145091,1146036,YDR336W,0,+,110,945,945,15.56274566,not_preferential,
XII,1032626,1035764,YLR450W,0,+,365,3138,3138,15.55124876,not_preferential,
XII,136585,137866,YLL006W,0,+,149,1281,1281,15.55114898,not_preferential,
XV,811670,812324,YOR258W,0,+,76,654,654,15.53678611,not_preferential,
XVI,406171,406498,YPL080C,0,-,38,327,327,15.53678611,not_preferential,
XV,155286,158637,YOL087C,0,-,389,3351,3351,15.52031447,not_preferential,
VII,376100,377255,YGL067W,0,+,134,1155,1155,15.51129856,not_preferential,
XIII,798517,801379,YMR266W,0,+,332,2862,2862,15.50935716,not_preferential,
IV,993133,993952,YDR262W,0,+,95,819,819,15.50833046,not_preferential,
XVI,366528,366735,YPL096C-A,0,-,24,207,207,15.50123283,not_preferential,
II,424989,425766,YBR088C,0,-,90,777,777,15.48627025,not_preferential,
XV,633281,633566,YOR159C,0,-,33,285,285,15.48083647,not_preferential,
V,107259,107907,YEL024W,0,+,75,648,648,15.47432097,not_preferential,
II,809056,809419,YBR301W,0,+,42,363,363,15.46920549,not_preferential,
X,159622,159847,YJL133C-A,0,-,26,225,225,15.44956205,not_preferential,
XVI,818322,819075,YPR143W,0,+,87,753,753,15.44719467,not_preferential,
XV,798012,798315,YOR248W,0,+,35,303,303,15.44367875,not_preferential,
II,127298,127610,YBL048W,0,+,36,312,312,15.42670767,not_preferential,
XVI,84508,85297,YPL246C,0,-,91,789,789,15.42019026,not_preferential,
XI,356321,356642,YKL044W,0,+,37,321,321,15.41068824,not_preferential,
II,805350,807105,YBR299W,0,+,202,1755,1755,15.38861703,not_preferential,
XV,909342,911445,YOR317W,0,+,242,2103,2103,15.38513943,not_preferential,
V,150300,150978,YEL001C,0,-,78,678,678,15.38120116,not_preferential,
XIII,442025,442364,YMR086C-A,0,-,39,339,339,15.38120116,not_preferential,
IV,673519,675667,YDR109C,0,-,247,2148,2148,15.37404045,not_preferential,
IV,542673,543369,YDR043C,0,-,80,696,696,15.36760151,not_preferential,
XVI,136749,138228,YPL219W,0,+,170,1479,1479,15.36760151,not_preferential,
XVI,657528,658938,YPR047W,0,+,162,1410,1410,15.36106211,not_preferential,
XIV,510539,512396,YNL061W,0,+,213,1857,1857,15.33532707,not_preferential,
II,119334,119709,YBL053W,0,+,43,375,375,15.33071927,not_preferential,
XIII,640914,645258,YMR190C,0,-,498,4344,4344,15.32727217,not_preferential,
XVI,252033,254310,YPL158C,0,-,261,2277,2277,15.32508246,not_preferential,
IV,1294835,1295411,YDR413C,0,-,66,576,576,15.31957776,not_preferential,
VII,962529,962817,YGR236C,0,-,33,288,288,15.31957776,not_preferential,
XV,1023460,1025572,YOR365C,0,-,242,2112,2112,15.31957776,not_preferential,
XVI,480181,480373,YPL038W-A,0,+,22,192,192,15.31957776,not_preferential,
X,398936,402410,YJL020C,0,-,398,3474,3474,15.31717242,not_preferential,
XII,108675,108972,YLL018C-A,0,-,34,297,297,15.30551019,not_preferential,
X,136371,136773,YJL151C,0,-,46,402,402,15.29879136,not_preferential,
II,727385,728102,YBR256C,0,-,82,717,717,15.29044201,not_preferential,
X,386347,386662,YJL032W,0,+,36,315,315,15.27978665,not_preferential,
XI,506516,506831,YKR032W,0,+,36,315,315,15.27978665,not_preferential,
VII,837141,840558,YGR170W,0,+,390,3417,3417,15.25966401,not_preferential,
XVI,642207,643320,YPR035W,0,+,127,1113,1113,15.25576182,not_preferential,
VII,830514,832197,YGR166W,0,+,192,1683,1683,15.25254995,not_preferential,
IV,871073,871301,YDR210W,0,+,26,228,228,15.24627834,not_preferential,
VII,866335,867520,YGR185C,0,-,135,1185,1185,15.23143289,not_preferential,
IV,454781,454904,YDR003W-A,0,+,14,123,123,15.21767369,not_preferential,
XII,579317,581771,YLR222C,0,-,279,2454,2454,15.200399,not_preferential,
I,152256,153876,YAR002W,0,+,184,1620,1620,15.18546697,not_preferential,
VII,44651,45197,YGL242C,0,-,62,546,546,15.18183929,not_preferential,
IV,753674,755066,YDR148C,0,-,158,1392,1392,15.17550649,not_preferential,
VII,656959,659770,YGR089W,0,+,319,2811,2811,15.17243133,not_preferential,
VII,995638,996229,YGR251W,0,+,67,591,591,15.15697956,not_preferential,
II,569841,571200,YBR166C,0,-,154,1359,1359,15.15048749,not_preferential,
IV,1110588,1111692,YDR322W,0,+,125,1104,1104,15.13792268,not_preferential,
III,289638,289797,YCR095W-A,0,+,18,159,159,15.13563771,not_preferential,
VI,156144,157752,YFR006W,0,+,182,1587,1608,15.13250014,not_preferential,
XV,384599,384935,YOR029W,0,+,38,336,336,15.1206222,not_preferential,
IV,1289405,1292120,YDR409W,0,+,307,2715,2715,15.11798412,not_preferential,
III,190591,191635,YCR034W,0,+,118,1044,1044,15.11147482,not_preferential,
XII,732190,732553,YLR302C,0,-,41,363,363,15.10089107,not_preferential,
V,552524,553259,YER182W,0,+,83,735,735,15.09788442,not_preferential,
VII,720371,721151,YGR115C,0,-,88,780,780,15.08389194,not_preferential,
XII,769317,771684,YLR319C,0,-,267,2367,2367,15.08128498,not_preferential,
XI,560788,562297,YKR063C,0,-,170,1509,1509,15.06208259,not_preferential,
VI,183130,184222,YFR018C,0,-,123,1092,1092,15.05940511,not_preferential,
IV,1035994,1036873,YDR287W,0,+,99,879,879,15.05815151,not_preferential,
VII,1075481,1075925,YGR290W,0,+,50,444,444,15.05609608,not_preferential,
VII,1076282,1076504,YGR291C,0,-,25,222,222,15.05609608,not_preferential,
X,503935,507301,YJR039W,0,+,379,3366,3366,15.05394904,not_preferential,
IV,1112479,1114027,YDR323C,0,-,174,1548,1548,15.02808473,not_preferential,
XIII,437490,438789,YMR085W,0,+,146,1299,1299,15.02688794,not_preferential,
XIII,651144,651910,YMR194W,0,+,86,766,766,15.01049537,not_preferential,
VIII,362114,362765,YHR128W,0,+,73,651,651,14.99226378,not_preferential,
VIII,25777,26179,YHL037C,0,-,45,402,402,14.96620893,not_preferential,
VIII,283776,284625,YHR090C,0,-,95,849,849,14.96033292,not_preferential,
VIII,282680,283298,YHR089C,0,-,69,618,618,14.92746147,not_preferential,
XIV,346312,347542,YNL152W,0,+,137,1230,1230,14.89158068,not_preferential,
IV,284580,285165,YDL098C,0,-,65,585,585,14.85534813,not_preferential,
IV,302463,302670,YDL085C-A,0,-,23,207,207,14.85534813,not_preferential,
V,136278,136629,YEL010W,0,+,39,351,351,14.85534813,not_preferential,
VIII,437169,439050,YHR166C,0,-,209,1881,1881,14.85534813,not_preferential,
XII,572095,573211,YLR216C,0,-,124,1116,1116,14.85534813,not_preferential,
XIII,298310,298391,YMR013W-A,0,+,9,81,81,14.85534813,not_preferential,
XV,185437,185644,YOL077W-A,0,+,23,207,207,14.85534813,not_preferential,
IV,1133259,1135431,YDR333C,0,-,241,2172,2172,14.83482969,not_preferential,
XV,784856,786744,YOR239W,0,+,209,1888,1888,14.80027004,not_preferential,
IX,314034,314820,YIL020C,0,-,87,786,786,14.79864833,not_preferential,
VII,662357,666071,YGR090W,0,+,411,3714,3714,14.79535076,not_preferential,
VII,27920,31636,YGL251C,0,-,411,3716,3716,14.78738771,not_preferential,
II,537875,539705,YBR148W,0,+,202,1830,1830,14.75793601,not_preferential,
XI,435579,436785,YKL004W,0,+,133,1206,1206,14.74448732,not_preferential,
VIII,280819,281155,YHR087W,0,+,37,336,336,14.72271109,not_preferential,
II,642582,642900,YBR209W,0,+,35,318,318,14.71520333,not_preferential,
III,274403,276566,YCR091W,0,+,238,2163,2163,14.71112145,not_preferential,
I,22394,22685,YAL063C-A,0,-,32,20,291,14.70220021,not_preferential,
XIV,574505,575351,YNL032W,0,+,93,151,846,14.69731251,not_preferential,
IV,491514,492324,YDR025W,0,+,89,801,810,14.6902887,not_preferential,
XIV,260626,263203,YNL201C,0,-,283,2577,2577,14.68241043,not_preferential,
XVI,352862,355412,YPL105C,0,-,280,2550,2550,14.68057933,not_preferential,
XIV,755745,759099,YNR067C,0,-,368,3354,3354,14.66932409,not_preferential,
II,764969,767606,YBR281C,0,-,289,2637,2637,14.65254474,not_preferential,
IV,265257,267201,YDL109C,0,-,213,1944,1944,14.64902385,not_preferential,
VII,946791,947001,YGR226C,0,-,23,210,210,14.64312887,not_preferential,
XI,299581,301882,YKL072W,0,+,252,2301,2301,14.64229881,not_preferential,
X,307970,310637,YJL070C,0,-,292,2667,2667,14.63811582,not_preferential,
XVI,742453,743743,YPR108W,0,+,141,1290,1290,14.61351688,not_preferential,
VII,433213,433579,YGL034C,0,-,40,366,366,14.61181783,not_preferential,
IV,194570,198176,YDL145C,0,-,394,3606,3606,14.60817095,not_preferential,
XI,431905,432720,YKL006W,0,+,89,815,815,14.60016423,not_preferential,
XIII,324235,325435,YMR026C,0,-,131,1200,1200,14.59537954,not_preferential,
IV,44064,45906,YDL229W,0,+,201,1842,1842,14.58920997,not_preferential,
XII,948367,949192,YLR412W,0,+,90,825,825,14.58525089,not_preferential,
IV,213350,215642,YDL138W,0,+,250,2292,2292,14.58312971,not_preferential,
II,167517,167838,YBL028C,0,-,35,321,321,14.57767807,not_preferential,
VIII,436646,436958,YHR165W-A,0,+,34,312,312,14.56966836,not_preferential,
XIV,576726,577038,YNL030W,0,+,34,312,312,14.56966836,not_preferential,
IV,1186066,1186369,YDR355C,0,-,33,303,303,14.56118282,not_preferential,
V,335926,336073,YER088W-B,0,+,16,147,147,14.55217776,not_preferential,
XIII,652593,652887,YMR194C-B,0,-,32,294,294,14.55217776,not_preferential,
VIII,448334,450806,YHR172W,0,+,269,2472,2472,14.54886643,not_preferential,
XII,41279,46265,YLL048C,0,-,542,4986,4986,14.53357163,not_preferential,
III,13750,14119,YCL065W,0,+,40,369,369,14.49302256,not_preferential,
III,160743,162222,YCR024C,0,-,160,1479,1479,14.46362495,not_preferential,
X,161913,164166,YJL132W,0,+,243,2253,2253,14.42017148,not_preferential,
V,136370,136778,YEL009C-A,0,-,44,408,408,14.41842612,not_preferential,
IX,69790,73453,YIL147C,0,-,395,3663,3663,14.41735261,not_preferential,
XI,440607,442722,YKR001C,0,-,228,2115,2115,14.4128484,not_preferential,
X,532061,533759,YJR052W,0,+,183,1698,1698,14.40916276,not_preferential,
V,455145,456036,YER142C,0,-,96,891,891,14.40518606,not_preferential,
XIV,452407,456130,YNL091W,0,+,401,3723,3723,14.40047042,not_preferential,
XVI,529722,533409,YPL012W,0,+,397,3687,3687,14.39602898,not_preferential,
XIII,460770,462609,YMR098C,0,-,198,1839,1839,14.39490504,not_preferential,
XIV,627455,628616,YNL001W,0,+,125,1161,1161,14.39471718,not_preferential,
VII,280776,281157,YGL121C,0,-,41,381,381,14.38746315,not_preferential,
XIV,512667,514935,YNL059C,0,-,244,2268,2268,14.38374977,not_preferential,
XIII,325876,327289,YMR027W,0,+,152,1413,1413,14.38224787,not_preferential,
XI,236140,237070,YKL107W,0,+,100,930,930,14.37614335,not_preferential,
XVI,106171,106822,YPL233W,0,+,70,651,651,14.37614335,not_preferential,
XII,260978,262766,YLR060W,0,+,192,1788,1788,14.35684651,not_preferential,
XIII,874986,878679,YMR304W,0,+,396,3693,3693,14.3364367,not_preferential,
XIII,628188,628785,YMR184W,0,+,64,597,597,14.33279819,not_preferential,
XVI,273254,275867,YPL147W,0,+,280,2613,2613,14.32662736,not_preferential,
VIII,364964,365300,YHR130C,0,-,36,336,336,14.32479998,not_preferential,
XV,853356,854112,YOR289W,0,+,81,756,756,14.32479998,not_preferential,
XVI,335947,336367,YPL114W,0,+,45,420,420,14.32479998,not_preferential,
XII,423473,423800,YLR140W,0,+,35,327,327,14.31019774,not_preferential,
VII,937123,938992,YGR221C,0,-,200,1869,1869,14.30691633,not_preferential,
XIV,555047,556832,YNL039W,0,+,191,1785,1785,14.30607475,not_preferential,
XV,811007,811493,YOR257W,0,+,52,486,486,14.30515005,not_preferential,
VII,1073962,1075813,YGR289C,0,-,198,1851,1851,14.30158312,not_preferential,
VII,252896,253859,YGL136C,0,-,103,963,963,14.30000801,not_preferential,
XVI,282685,283003,YPL142C,0,-,34,318,318,14.29476895,not_preferential,
XIV,434998,437140,YNL101W,0,+,229,2039,2142,14.29359127,not_preferential,
VI,87846,90345,YFL024C,0,-,267,2499,2499,14.28467449,not_preferential,
II,425182,425782,YBR089W,0,+,64,600,600,14.2611342,not_preferential,
IV,3761,3836,YDL247W-A,0,+,8,75,75,14.2611342,not_preferential,
VIII,453557,453707,YHR175W-A,0,+,16,150,150,14.2611342,not_preferential,
X,491080,492262,YJR032W,0,+,126,1182,1182,14.25208526,not_preferential,
IV,1318045,1319275,YDR423C,0,-,131,1230,1230,14.23939467,not_preferential,
X,207876,209529,YJL111W,0,+,176,1653,1653,14.23525193,not_preferential,
XIII,431768,432125,YMR082C,0,-,38,357,357,14.23117384,not_preferential,
VII,666340,667825,YGR091W,0,+,158,1485,1485,14.22512124,not_preferential,
II,707527,708016,YBR244W,0,+,52,489,489,14.21738839,not_preferential,
X,278840,280655,YJL083W,0,+,193,1566,1815,14.21693647,not_preferential,
XVI,876281,876629,YPR166C,0,-,37,348,348,14.2150314,not_preferential,
IV,871035,871449,YDR209C,0,-,44,414,414,14.20946343,not_preferential,
XVI,174342,174756,YPL197C,0,-,44,414,414,14.20946343,not_preferential,
XIV,322218,323565,YNL166C,0,-,143,1347,1347,14.19363997,not_preferential,
XV,768408,769812,YOR229W,0,+,149,1404,1404,14.18876199,not_preferential,
IV,205359,210561,YDL140C,0,-,552,5202,5202,14.18711447,not_preferential,
III,13281,13809,YCL066W,0,+,56,528,528,14.18010503,not_preferential,
XV,251266,252646,YOL041C,0,-,146,1380,1380,14.14487496,not_preferential,
V,450562,451243,YER139C,0,-,72,681,681,14.13548544,not_preferential,
XIII,835325,836867,YMR283C,0,-,163,1542,1542,14.13281174,not_preferential,
XII,40665,41205,YLL049W,0,+,57,540,540,14.11258072,not_preferential,
II,126827,127244,YBL049W,0,+,44,417,417,14.10723707,not_preferential,
II,91793,92030,YBL068W-A,0,+,25,237,237,14.1031786,not_preferential,
XII,586463,587573,YLR224W,0,+,117,1110,1110,14.09250593,not_preferential,
XIII,397902,399459,YMR064W,0,+,164,1557,1557,14.08252655,not_preferential,
XVI,326627,327662,YPL118W,0,+,109,1035,1035,14.08028649,not_preferential,
VII,214080,215211,YGL155W,0,+,119,1131,1131,14.067266,not_preferential,
IV,176772,178056,YDL155W,0,+,135,1284,1284,14.05704671,not_preferential,
XVI,172032,172755,YPL199C,0,-,76,723,723,14.05402229,not_preferential,
VII,867773,869981,YGR186W,0,+,232,2208,2208,14.04799225,not_preferential,
IV,996028,998323,YDR264C,0,-,241,2295,2295,14.03976039,not_preferential,
VII,781766,783890,YGR145W,0,+,223,2124,2124,14.03704505,not_preferential,
XII,572908,573232,YLR217W,0,+,34,324,324,14.03005101,not_preferential,
XV,513294,514278,YOR100C,0,-,103,984,984,13.99482491,not_preferential,
XII,181788,183405,YLR020C,0,-,169,1617,1617,13.97339796,not_preferential,
XVI,521013,524958,YPL016W,0,+,412,3945,3945,13.96289756,not_preferential,
XV,461790,462039,YOR072W-A,0,+,26,249,249,13.96044764,not_preferential,
IX,357414,360396,YIR002C,0,-,311,2952,2982,13.94370201,not_preferential,
IV,921925,923806,YDR228C,0,-,196,1881,1881,13.93133126,not_preferential,
VIII,38814,39486,YHL031C,0,-,70,672,672,13.92688887,not_preferential,
X,483958,486196,YJR030C,0,-,233,2238,2238,13.91942137,not_preferential,
IV,100500,101067,YDL200C,0,-,59,567,567,13.91215142,not_preferential,
XV,278055,280086,YOL023W,0,+,211,2031,2031,13.88986021,not_preferential,
IV,1414574,1415171,YDR478W,0,+,62,597,597,13.88489825,not_preferential,
IV,1030549,1031419,YDR284C,0,-,90,870,870,13.83084136,not_preferential,
XIV,250054,250315,YNL211C,0,-,27,261,261,13.83084136,not_preferential,
XIII,842435,845345,YMR287C,0,-,301,2910,2910,13.82925707,not_preferential,
XIII,870072,872625,YMR302C,0,-,264,2553,2553,13.82542387,not_preferential,
VII,171414,173079,YGL176C,0,-,172,1665,1665,13.8114588,not_preferential,
VII,705358,706501,YGR109C,0,-,118,1143,1143,13.80260692,not_preferential,
VII,859900,865753,YGR184C,0,-,604,5786,5853,13.7969712,not_preferential,
XIII,746352,747729,YMR238W,0,+,142,1377,1377,13.78731656,not_preferential,
XII,134301,136299,YLL007C,0,-,206,1998,1998,13.78469241,not_preferential,
V,413393,414179,YER126C,0,-,81,786,786,13.77805189,not_preferential,
IX,89229,89715,YIL138C,0,-,50,486,486,13.75495197,not_preferential,
VII,720264,720654,YGR114C,0,-,40,390,390,13.71262904,not_preferential,
XII,704308,704698,YLR279W,0,+,40,390,390,13.71262904,not_preferential,
XII,704482,704833,YLR280C,0,-,36,351,351,13.71262904,not_preferential,
XVI,126633,128088,YPL224C,0,-,149,1455,1455,13.69142394,not_preferential,
XVI,33012,34947,YPL269W,0,+,198,1935,1935,13.68073921,not_preferential,
IV,905454,906852,YDR219C,0,-,143,1398,1398,13.67584624,not_preferential,
IV,960613,963106,YDR251W,0,+,255,2493,2493,13.67550098,not_preferential,
V,407341,409063,YER124C,0,-,176,1493,1722,13.66484985,not_preferential,
II,356860,360187,YBR059C,0,-,340,3327,3327,13.6631696,not_preferential,
XII,587694,588918,YLR225C,0,-,125,1224,1224,13.65381262,not_preferential,
V,116166,116970,YEL021W,0,+,82,804,804,13.63587925,not_preferential,
IV,1151802,1153626,YDR341C,0,-,186,1824,1824,13.63369121,not_preferential,
III,151607,151862,YCR018C-A,0,-,26,222,255,13.63196652,not_preferential,
XIV,258374,259277,YNL204C,0,-,92,903,903,13.62151523,not_preferential,
IV,432924,433248,YDL009C,0,-,33,324,324,13.61740245,not_preferential,
XIII,50030,50954,YML110C,0,-,94,924,924,13.60132523,not_preferential,
IV,1294692,1295400,YDR412W,0,+,72,708,708,13.59642032,not_preferential,
XVI,364951,366430,YPL097W,0,+,150,1479,1479,13.55964839,not_preferential,
VIII,462501,463704,YHR179W,0,+,122,1203,1203,13.55874667,not_preferential,
II,110593,111244,YBL059W,0,+,66,651,651,13.55464944,not_preferential,
